JOBID,PROJECT_NAME,JOB_NAME,SOURCE_OBJECT_NAME
1008,RESERVATION,LZ_ODS_P_BUSINESS_SUPPORT.RES_SUPP.0050.RES_SUPP_GRP_2,LZ_P_FIVETRAN.FIN_PSFT_NCLH_FSCM.PS_RT_RATE_TBL
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,EDW_P.RES.DIM_VOYAGE_PRORATION
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.SHIP_CABIN_RESERVE_TYPE
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.SHIP_INVENTORY_ALLOC
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,EDW_P.RES.DIM_VOYAGE
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.RES_HEADER
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,EDW_P.RES.DIM_CABIN_CATEGORY
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.PACKAGE_DEFINITION
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.RES_SHIP_REQUEST
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.RES_PACKAGE
2538,RESERVATION,ODS_EDW.RES_CAPACITY_NCL.1000.Load_FACT_Capacity_Cabin_MT,ODS_P.RES_SW.SHIP_CABIN_RESERVE
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.DSSTG.STG_NCL_DW_TRIGGER_LOG_INFO
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_GUEST
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_COMPONENT
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_VOYAGE
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,PUBLISHED_D.CRM_SFDC.CERTIFICATE_C
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_PACKAGE_COUPON
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_HIST_VALUE
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_HIST_TRANS
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,ODS_P.RES_SW.RES_GUEST_PARAM
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_RES
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_AGENCY
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_AGENCY
2548,RESERVATION,ODS_EDW.RES_NCL.1.Load_DIM_Guest,EDW_P.RES.DIM_VOYAGE
